t;x0;y0;x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;
0.183;0.791;0.612;1.49;1.33;2.2;2.03;2.9;2.74;3.61;3.45;
0.186;0.793;0.609;1.49;1.32;2.2;2.03;2.91;2.74;3.61;3.44;
0.189;0.796;0.605;1.5;1.32;2.2;2.03;2.91;2.73;3.62;3.44;
0.192;0.799;0.601;1.5;1.32;2.2;2.02;2.91;2.73;3.62;3.44;
0.195;0.802;0.598;1.5;1.31;2.21;2.02;2.91;2.73;3.62;3.43;
0.198;0.805;0.594;1.5;1.31;2.21;2.02;2.92;2.72;3.62;3.43;
0.201;0.807;0.59;1.5;1.31;2.21;2.01;2.92;2.72;3.63;3.43;
0.204;0.81;0.586;1.51;1.3;2.21;2.01;2.92;2.72;3.63;3.42;
0.207;0.813;0.582;1.51;1.3;2.22;2.01;2.92;2.71;3.63;3.42;
0.21;0.816;0.578;1.51;1.3;2.22;2;2.93;2.71;3.63;3.42;
0.213;0.819;0.573;1.51;1.29;2.22;2;2.93;2.71;3.64;3.41;
0.216;0.822;0.569;1.52;1.29;2.22;2;2.93;2.7;3.64;3.41;
0.219;0.826;0.564;1.52;1.28;2.23;1.99;2.93;2.7;3.64;3.41;
0.222;0.829;0.56;1.52;1.28;2.23;1.99;2.94;2.69;3.64;3.4;
0.225;0.832;0.555;1.52;1.28;2.23;1.98;2.94;2.69;3.65;3.4;
0.228;0.835;0.55;1.53;1.27;2.23;1.98;2.94;2.69;3.65;3.39;
0.231;0.838;0.546;1.53;1.27;2.24;1.97;2.94;2.68;3.65;3.39;
0.234;0.841;0.541;1.53;1.26;2.24;1.97;2.95;2.68;3.65;3.38;
0.237;0.844;0.536;1.53;1.26;2.24;1.97;2.95;2.67;3.66;3.38;
0.24;0.848;0.531;1.54;1.26;2.24;1.96;2.95;2.67;3.66;3.38;
0.243;0.851;0.525;1.54;1.25;2.25;1.96;2.95;2.66;3.66;3.37;
0.246;0.854;0.52;1.54;1.25;2.25;1.95;2.96;2.66;3.66;3.37;
0.249;0.857;0.515;1.54;1.24;2.25;1.95;2.96;2.66;3.67;3.36;
0.252;0.861;0.509;1.55;1.24;2.25;1.94;2.96;2.65;3.67;3.36;
0.255;0.864;0.504;1.55;1.23;2.26;1.94;2.96;2.65;3.67;3.35;
0.258;0.867;0.498;1.55;1.23;2.26;1.93;2.97;2.64;3.67;3.35;
0.261;0.87;0.492;1.55;1.22;2.26;1.93;2.97;2.64;3.68;3.34;
0.264;0.874;0.487;1.56;1.22;2.26;1.92;2.97;2.63;3.68;3.34;
0.267;0.877;0.481;1.56;1.21;2.27;1.92;2.97;2.62;3.68;3.33;
0.27;0.88;0.475;1.56;1.21;2.27;1.91;2.98;2.62;3.68;3.33;
0.273;0.883;0.469;1.56;1.2;2.27;1.91;2.98;2.61;3.69;3.32;
0.276;0.887;0.463;1.57;1.2;2.28;1.9;2.98;2.61;3.69;3.32;
0.279;0.89;0.456;1.57;1.19;2.28;1.9;2.98;2.6;3.69;3.31;
0.282;0.893;0.45;1.57;1.18;2.28;1.89;2.99;2.6;3.69;3.3;
0.285;0.896;0.444;1.57;1.18;2.28;1.88;2.99;2.59;3.7;3.3;
0.288;0.899;0.437;1.58;1.17;2.29;1.88;2.99;2.59;3.7;3.29;
0.291;0.903;0.431;1.58;1.17;2.29;1.87;2.99;2.58;3.7;3.29;
0.294;0.906;0.424;1.58;1.16;2.29;1.87;3;2.57;3.7;3.28;
0.297;0.909;0.417;1.58;1.15;2.29;1.86;3;2.57;3.71;3.27;
0.3;0.912;0.41;1.59;1.15;2.3;1.85;3;2.56;3.71;3.27;
0.303;0.915;0.404;1.59;1.14;2.3;1.85;3.01;2.55;3.71;3.26;
0.306;0.918;0.397;1.59;1.14;2.3;1.84;3.01;2.55;3.71;3.26;
0.309;0.921;0.389;1.59;1.13;2.3;1.83;3.01;2.54;3.72;3.25;
