theta0;omega0;theta1;omega1;theta2;omega2;theta3;omega3;theta4;omega4;theta5;omega5;
2.27;-1.22;2.36;0.136;2.36;-0.0039;2.36;4.09e-05;2.36;-1.68e-07;
2.26;-1.25;2.36;0.143;2.36;-0.00422;2.36;4.57e-05;2.36;-1.94e-07;
2.26;-1.28;2.36;0.15;2.36;-0.00456;2.36;5.09e-05;2.36;-2.23e-07;
2.25;-1.3;2.36;0.157;2.36;-0.00492;2.36;5.65e-05;2.36;-2.55e-07;
2.25;-1.33;2.36;0.164;2.36;-0.00529;2.36;6.25e-05;2.36;-2.91e-07;
2.25;-1.36;2.36;0.172;2.36;-0.00568;2.36;6.89e-05;2.36;-3.3e-07;
2.24;-1.39;2.36;0.179;2.36;-0.00608;2.36;7.58e-05;2.36;-3.73e-07;
2.24;-1.42;2.37;0.187;2.36;-0.00649;2.36;8.31e-05;2.36;-4.19e-07;
2.23;-1.45;2.37;0.194;2.36;-0.00691;2.36;9.07e-05;2.36;-4.7e-07;
2.23;-1.48;2.37;0.202;2.36;-0.00735;2.36;9.88e-05;2.36;-5.25e-07;
2.23;-1.5;2.37;0.209;2.36;-0.00779;2.36;0.000107;2.36;-5.83e-07;
2.22;-1.53;2.37;0.217;2.36;-0.00825;2.36;0.000116;2.36;-6.46e-07;
2.22;-1.56;2.37;0.224;2.36;-0.00871;2.36;0.000125;2.36;-7.13e-07;
2.21;-1.59;2.37;0.232;2.36;-0.00918;2.36;0.000135;2.36;-7.84e-07;
2.21;-1.62;2.37;0.239;2.36;-0.00965;2.36;0.000145;2.36;-8.58e-07;
2.2;-1.65;2.37;0.246;2.36;-0.0101;2.36;0.000155;2.36;-9.36e-07;
2.2;-1.68;2.37;0.253;2.36;-0.0106;2.36;0.000165;2.36;-1.02e-06;
2.19;-1.71;2.37;0.26;2.36;-0.0111;2.36;0.000175;2.36;-1.1e-06;
2.19;-1.74;2.37;0.267;2.36;-0.0115;2.36;0.000186;2.36;-1.19e-06;
2.18;-1.77;2.37;0.274;2.36;-0.012;2.36;0.000196;2.36;-1.27e-06;
2.18;-1.8;2.37;0.28;2.36;-0.0124;2.36;0.000207;2.36;-1.36e-06;
2.17;-1.82;2.38;0.286;2.36;-0.0129;2.36;0.000217;2.36;-1.45e-06;
2.16;-1.85;2.38;0.292;2.36;-0.0133;2.36;0.000227;2.36;-1.54e-06;
2.16;-1.88;2.38;0.297;2.36;-0.0137;2.36;0.000237;2.36;-1.63e-06;
2.15;-1.91;2.38;0.302;2.36;-0.0141;2.36;0.000246;2.36;-1.72e-06;
2.15;-1.94;2.38;0.307;2.36;-0.0144;2.36;0.000255;2.36;-1.8e-06;
2.14;-1.97;2.38;0.311;2.36;-0.0147;2.36;0.000264;2.36;-1.88e-06;
2.14;-1.99;2.38;0.315;2.36;-0.015;2.36;0.000271;2.36;-1.95e-06;
2.13;-2.02;2.38;0.319;2.36;-0.0153;2.36;0.000278;2.36;-2.02e-06;
2.12;-2.05;2.38;0.322;2.36;-0.0155;2.36;0.000285;2.36;-2.08e-06;
