theta0;omega0;theta1;omega1;
0.339;3.69;-9.49;-4.07;
0.343;3.68;-9.5;-4.09;
0.346;3.68;-9.5;-4.12;
0.35;3.67;-9.51;-4.14;
0.354;3.66;-9.51;-4.17;
0.357;3.65;-9.51;-4.2;
0.361;3.65;-9.52;-4.23;
0.365;3.64;-9.52;-4.25;
0.368;3.63;-9.53;-4.28;
0.372;3.62;-9.53;-4.31;
0.375;3.61;-9.53;-4.34;
0.379;3.61;-9.54;-4.36;
0.383;3.6;-9.54;-4.39;
0.386;3.59;-9.55;-4.42;
0.39;3.59;-9.55;-4.45;
0.393;3.58;-9.56;-4.47;
0.397;3.57;-9.56;-4.5;
0.401;3.56;-9.57;-4.53;
0.404;3.56;-9.57;-4.56;
0.408;3.55;-9.57;-4.59;
0.411;3.54;-9.58;-4.62;
0.415;3.53;-9.58;-4.64;
0.418;3.53;-9.59;-4.67;
0.422;3.52;-9.59;-4.7;
0.425;3.51;-9.6;-4.73;
0.429;3.51;-9.6;-4.76;
0.432;3.5;-9.61;-4.79;
0.436;3.49;-9.61;-4.82;
0.439;3.49;-9.62;-4.84;
0.443;3.48;-9.62;-4.87;
0.446;3.47;-9.63;-4.9;
0.45;3.47;-9.63;-4.93;
0.453;3.46;-9.64;-4.96;
0.457;3.46;-9.64;-4.99;
0.46;3.45;-9.65;-5.02;
0.464;3.44;-9.65;-5.04;
0.467;3.44;-9.66;-5.07;
0.47;3.43;-9.66;-5.1;
0.474;3.43;-9.67;-5.13;
0.477;3.42;-9.67;-5.16;
0.481;3.42;-9.68;-5.19;
0.484;3.41;-9.68;-5.21;
0.488;3.41;-9.69;-5.24;
0.491;3.4;-9.69;-5.27;
0.494;3.4;-9.7;-5.3;
0.498;3.39;-9.7;-5.33;
0.501;3.39;-9.71;-5.36;
0.505;3.38;-9.71;-5.38;
0.508;3.38;-9.72;-5.41;
0.511;3.37;-9.73;-5.44;
0.515;3.37;-9.73;-5.47;
0.518;3.36;-9.74;-5.5;
0.521;3.36;-9.74;-5.53;
0.525;3.36;-9.75;-5.55;
0.528;3.35;-9.75;-5.58;
0.531;3.35;-9.76;-5.61;
0.535;3.35;-9.76;-5.64;
0.538;3.34;-9.77;-5.67;
0.541;3.34;-9.78;-5.69;
0.545;3.34;-9.78;-5.72;
0.548;3.33;-9.79;-5.75;
0.551;3.33;-9.79;-5.78;
0.555;3.33;-9.8;-5.81;
0.558;3.33;-9.8;-5.83;
0.561;3.32;-9.81;-5.86;
0.565;3.32;-9.82;-5.89;
0.568;3.32;-9.82;-5.92;
0.571;3.32;-9.83;-5.95;
0.575;3.31;-9.83;-5.97;
0.578;3.31;-9.84;-6;
0.581;3.31;-9.85;-6.03;
0.585;3.31;-9.85;-6.06;
0.588;3.31;-9.86;-6.09;
0.591;3.31;-9.86;-6.12;
0.595;3.31;-9.87;-6.14;
0.598;3.31;-9.88;-6.17;
0.601;3.31;-9.88;-6.2;
0.605;3.3;-9.89;-6.23;
0.608;3.3;-9.89;-6.26;
0.611;3.3;-9.9;-6.29;
0.614;3.3;-9.91;-6.31;
0.618;3.3;-9.91;-6.34;
0.621;3.3;-9.92;-6.37;
0.624;3.3;-9.93;-6.4;
0.628;3.3;-9.93;-6.43;
0.631;3.31;-9.94;-6.46;
0.634;3.31;-9.95;-6.49;
0.638;3.31;-9.95;-6.52;
0.641;3.31;-9.96;-6.55;
0.644;3.31;-9.97;-6.57;
0.647;3.31;-9.97;-6.6;
0.651;3.31;-9.98;-6.63;
0.654;3.31;-9.99;-6.66;
0.657;3.32;-9.99;-6.69;
0.661;3.32;-10;-6.72;
0.664;3.32;-10;-6.75;
0.667;3.32;-10;-6.78;
0.671;3.33;-10;-6.81;
0.674;3.33;-10;-6.84;
0.677;3.33;-10;-6.87;
0.681;3.33;-10;-6.91;
0.684;3.34;-10;-6.94;
0.687;3.34;-10.1;-6.97;
0.691;3.34;-10.1;-7;
0.694;3.35;-10.1;-7.03;
0.697;3.35;-10.1;-7.06;
0.701;3.36;-10.1;-7.1;
0.704;3.36;-10.1;-7.13;
0.707;3.37;-10.1;-7.16;
0.711;3.37;-10.1;-7.19;
0.714;3.38;-10.1;-7.23;
0.718;3.38;-10.1;-7.26;
0.721;3.39;-10.1;-7.29;
0.724;3.39;-10.1;-7.33;
0.728;3.4;-10.1;-7.36;
0.731;3.4;-10.1;-7.39;
0.735;3.41;-10.2;-7.43;
0.738;3.42;-10.2;-7.46;
0.741;3.42;-10.2;-7.5;
0.745;3.43;-10.2;-7.54;
0.748;3.44;-10.2;-7.57;
0.752;3.44;-10.2;-7.61;
0.755;3.45;-10.2;-7.64;
0.759;3.46;-10.2;-7.68;
0.762;3.47;-10.2;-7.72;
0.766;3.47;-10.2;-7.76;
0.769;3.48;-10.2;-7.8;
0.772;3.49;-10.2;-7.83;
0.776;3.5;-10.2;-7.87;
0.779;3.51;-10.3;-7.91;
0.783;3.52;-10.3;-7.95;
0.787;3.53;-10.3;-7.99;
0.79;3.54;-10.3;-8.03;
0.794;3.55;-10.3;-8.08;
0.797;3.56;-10.3;-8.12;
0.801;3.57;-10.3;-8.16;
0.804;3.58;-10.3;-8.2;
0.808;3.59;-10.3;-8.25;
0.811;3.6;-10.3;-8.29;
0.815;3.61;-10.3;-8.33;
0.819;3.62;-10.3;-8.38;
0.822;3.64;-10.4;-8.43;
0.826;3.65;-10.4;-8.47;
0.83;3.66;-10.4;-8.52;
0.833;3.67;-10.4;-8.57;
0.837;3.69;-10.4;-8.62;
0.841;3.7;-10.4;-8.66;
0.844;3.72;-10.4;-8.71;
0.848;3.73;-10.4;-8.76;
0.852;3.74;-10.4;-8.82;
0.856;3.76;-10.4;-8.87;
0.859;3.78;-10.4;-8.92;
0.863;3.79;-10.4;-8.97;
0.867;3.81;-10.5;-9.03;
0.871;3.82;-10.5;-9.08;
0.875;3.84;-10.5;-9.14;
0.878;3.86;-10.5;-9.2;
0.882;3.87;-10.5;-9.25;
0.886;3.89;-10.5;-9.31;
0.89;3.91;-10.5;-9.37;
0.894;3.93;-10.5;-9.43;
0.898;3.95;-10.5;-9.49;
0.902;3.97;-10.5;-9.56;
0.906;3.99;-10.5;-9.62;
0.91;4.01;-10.6;-9.68;
0.914;4.03;-10.6;-9.75;
0.918;4.05;-10.6;-9.82;
0.922;4.07;-10.6;-9.89;
0.926;4.09;-10.6;-9.95;
0.93;4.12;-10.6;-10;
0.934;4.14;-10.6;-10.1;
0.938;4.16;-10.6;-10.2;
0.943;4.19;-10.6;-10.2;
0.947;4.21;-10.6;-10.3;
0.951;4.24;-10.7;-10.4;
0.955;4.26;-10.7;-10.5;
0.96;4.29;-10.7;-10.5;
0.964;4.31;-10.7;-10.6;
0.968;4.34;-10.7;-10.7;
0.973;4.37;-10.7;-10.8;
0.977;4.4;-10.7;-10.9;
0.981;4.42;-10.7;-11;
0.986;4.45;-10.7;-11;
0.99;4.48;-10.8;-11.1;
0.995;4.51;-10.8;-11.2;
0.999;4.54;-10.8;-11.3;
1;4.57;-10.8;-11.4;
1.01;4.61;-10.8;-11.5;
1.01;4.64;-10.8;-11.6;
1.02;4.67;-10.8;-11.7;
1.02;4.7;-10.8;-11.8;
1.03;4.73;-10.8;-11.9;
1.03;4.77;-10.9;-12;
1.04;4.8;-10.9;-12.1;
1.04;4.84;-10.9;-12.2;
1.05;4.87;-10.9;-12.3;
1.05;4.91;-10.9;-12.4;
1.06;4.94;-10.9;-12.5;
1.06;4.98;-10.9;-12.6;
1.07;5.01;-10.9;-12.7;
1.07;5.05;-11;-12.8;
1.08;5.08;-11;-12.9;
1.08;5.12;-11;-13;
1.09;5.15;-11;-13.1;
1.09;5.19;-11;-13.2;
1.1;5.22;-11;-13.4;
1.1;5.25;-11;-13.5;
1.11;5.29;-11.1;-13.6;
1.11;5.32;-11.1;-13.7;
1.12;5.35;-11.1;-13.8;
1.12;5.38;-11.1;-13.9;
1.13;5.41;-11.1;-14;
1.13;5.44;-11.1;-14;
1.14;5.47;-11.1;-14.1;
1.15;5.49;-11.1;-14.2;
1.15;5.52;-11.2;-14.3;
1.16;5.54;-11.2;-14.4;
1.16;5.56;-11.2;-14.4;
1.17;5.58;-11.2;-14.5;
1.17;5.59;-11.2;-14.6;
1.18;5.6;-11.2;-14.6;
1.18;5.61;-11.3;-14.7;
1.19;5.62;-11.3;-14.7;
1.2;5.63;-11.3;-14.8;
1.2;5.63;-11.3;-14.8;
1.21;5.63;-11.3;-14.8;
1.21;5.63;-11.3;-14.8;
1.22;5.62;-11.3;-14.8;
1.22;5.61;-11.4;-14.8;
1.23;5.6;-11.4;-14.8;
1.23;5.58;-11.4;-14.8;
1.24;5.57;-11.4;-14.8;
1.25;5.54;-11.4;-14.8;
1.25;5.52;-11.4;-14.7;
1.26;5.49;-11.4;-14.7;
1.26;5.47;-11.5;-14.6;
1.27;5.43;-11.5;-14.6;
1.27;5.4;-11.5;-14.5;
1.28;5.36;-11.5;-14.5;
1.28;5.33;-11.5;-14.4;
1.29;5.29;-11.5;-14.3;
1.29;5.25;-11.5;-14.2;
1.3;5.2;-11.6;-14.2;
1.3;5.16;-11.6;-14.1;
1.31;5.11;-11.6;-14;
1.32;5.07;-11.6;-13.9;
1.32;5.02;-11.6;-13.8;
1.33;4.97;-11.6;-13.7;
1.33;4.92;-11.6;-13.6;
1.33;4.87;-11.7;-13.5;
1.34;4.82;-11.7;-13.4;
1.34;4.77;-11.7;-13.3;
1.35;4.72;-11.7;-13.2;
1.35;4.67;-11.7;-13.1;
1.36;4.62;-11.7;-13;
1.36;4.57;-11.7;-12.9;
1.37;4.52;-11.7;-12.8;
1.37;4.46;-11.8;-12.8;
1.38;4.41;-11.8;-12.7;
1.38;4.36;-11.8;-12.6;
1.39;4.31;-11.8;-12.5;
1.39;4.26;-11.8;-12.4;
1.39;4.21;-11.8;-12.3;
1.4;4.16;-11.8;-12.2;
1.4;4.11;-11.8;-12.1;
1.41;4.06;-11.9;-12;
1.41;4.01;-11.9;-12;
1.41;3.96;-11.9;-11.9;
1.42;3.92;-11.9;-11.8;
1.42;3.87;-11.9;-11.7;
1.43;3.82;-11.9;-11.6;
1.43;3.78;-11.9;-11.6;
1.43;3.73;-11.9;-11.5;
1.44;3.68;-12;-11.4;
1.44;3.64;-12;-11.4;
1.44;3.59;-12;-11.3;
1.45;3.55;-12;-11.2;
1.45;3.5;-12;-11.2;
1.46;3.46;-12;-11.1;
1.46;3.42;-12;-11;
1.46;3.37;-12;-11;
1.47;3.33;-12;-10.9;
1.47;3.29;-12.1;-10.9;
1.47;3.25;-12.1;-10.8;
1.48;3.21;-12.1;-10.7;
1.48;3.16;-12.1;-10.7;
1.48;3.12;-12.1;-10.6;
1.48;3.08;-12.1;-10.6;
1.49;3.04;-12.1;-10.5;
1.49;3;-12.1;-10.5;
1.49;2.97;-12.1;-10.4;
1.5;2.93;-12.1;-10.4;
1.5;2.89;-12.2;-10.4;
1.5;2.85;-12.2;-10.3;
1.51;2.81;-12.2;-10.3;
1.51;2.77;-12.2;-10.2;
1.51;2.74;-12.2;-10.2;
1.51;2.7;-12.2;-10.2;
1.52;2.66;-12.2;-10.1;
1.52;2.62;-12.2;-10.1;
1.52;2.59;-12.2;-10.1;
1.52;2.55;-12.3;-10;
1.53;2.52;-12.3;-10;
1.53;2.48;-12.3;-9.97;
1.53;2.44;-12.3;-9.94;
1.53;2.41;-12.3;-9.91;
1.54;2.37;-12.3;-9.88;
1.54;2.34;-12.3;-9.86;
1.54;2.3;-12.3;-9.83;
1.54;2.27;-12.3;-9.81;
1.55;2.24;-12.3;-9.79;
1.55;2.2;-12.3;-9.76;
1.55;2.17;-12.4;-9.74;
1.55;2.13;-12.4;-9.72;
1.55;2.1;-12.4;-9.7;
1.56;2.07;-12.4;-9.69;
1.56;2.03;-12.4;-9.67;
1.56;2;-12.4;-9.65;
1.56;1.96;-12.4;-9.64;
1.56;1.93;-12.4;-9.62;
1.57;1.9;-12.4;-9.61;
1.57;1.87;-12.4;-9.6;
1.57;1.83;-12.5;-9.58;
1.57;1.8;-12.5;-9.57;
1.57;1.77;-12.5;-9.56;
1.58;1.73;-12.5;-9.55;
1.58;1.7;-12.5;-9.54;
1.58;1.67;-12.5;-9.53;
1.58;1.64;-12.5;-9.53;
1.58;1.6;-12.5;-9.52;
1.58;1.57;-12.5;-9.51;
1.59;1.54;-12.5;-9.51;
1.59;1.51;-12.6;-9.5;
1.59;1.47;-12.6;-9.5;
1.59;1.44;-12.6;-9.5;
1.59;1.41;-12.6;-9.49;
1.59;1.38;-12.6;-9.49;
1.59;1.34;-12.6;-9.49;
1.6;1.31;-12.6;-9.49;
1.6;1.28;-12.6;-9.49;
1.6;1.25;-12.6;-9.49;
1.6;1.22;-12.6;-9.49;
1.6;1.18;-12.6;-9.5;
1.6;1.15;-12.7;-9.5;
1.6;1.12;-12.7;-9.5;
1.6;1.09;-12.7;-9.51;
1.6;1.05;-12.7;-9.51;
1.61;1.02;-12.7;-9.52;
1.61;0.989;-12.7;-9.52;
1.61;0.956;-12.7;-9.53;
1.61;0.924;-12.7;-9.54;
1.61;0.891;-12.7;-9.55;
1.61;0.859;-12.7;-9.56;
1.61;0.826;-12.8;-9.57;
1.61;0.793;-12.8;-9.58;
1.61;0.761;-12.8;-9.59;
1.61;0.728;-12.8;-9.6;
1.61;0.695;-12.8;-9.61;
1.61;0.662;-12.8;-9.62;
1.62;0.629;-12.8;-9.63;
1.62;0.596;-12.8;-9.65;
1.62;0.563;-12.8;-9.66;
1.62;0.53;-12.8;-9.68;
1.62;0.497;-12.8;-9.69;
1.62;0.463;-12.9;-9.71;
1.62;0.43;-12.9;-9.72;
1.62;0.396;-12.9;-9.74;
1.62;0.363;-12.9;-9.76;
1.62;0.329;-12.9;-9.78;
1.62;0.296;-12.9;-9.79;
1.62;0.262;-12.9;-9.81;
1.62;0.228;-12.9;-9.83;
1.62;0.194;-12.9;-9.85;
1.62;0.16;-12.9;-9.87;
1.62;0.125;-13;-9.9;
1.62;0.0911;-13;-9.92;
1.62;0.0567;-13;-9.94;
1.62;0.0222;-13;-9.96;
1.62;-0.0124;-13;-9.99;
1.62;-0.0471;-13;-10;
1.62;-0.082;-13;-10;
1.62;-0.117;-13;-10.1;
1.62;-0.152;-13;-10.1;
1.62;-0.187;-13;-10.1;
1.62;-0.222;-13.1;-10.1;
1.62;-0.258;-13.1;-10.2;
1.62;-0.293;-13.1;-10.2;
1.62;-0.329;-13.1;-10.2;
1.62;-0.364;-13.1;-10.3;
1.62;-0.4;-13.1;-10.3;
1.62;-0.436;-13.1;-10.3;
1.62;-0.472;-13.1;-10.3;
1.62;-0.508;-13.1;-10.4;
1.62;-0.545;-13.1;-10.4;
1.62;-0.581;-13.2;-10.4;
1.62;-0.617;-13.2;-10.5;
1.62;-0.654;-13.2;-10.5;
1.61;-0.691;-13.2;-10.5;
1.61;-0.727;-13.2;-10.6;
1.61;-0.764;-13.2;-10.6;
1.61;-0.801;-13.2;-10.6;
1.61;-0.838;-13.2;-10.7;
1.61;-0.876;-13.2;-10.7;
1.61;-0.913;-13.3;-10.7;
1.61;-0.95;-13.3;-10.8;
1.61;-0.988;-13.3;-10.8;
1.61;-1.03;-13.3;-10.8;
1.61;-1.06;-13.3;-10.9;
1.6;-1.1;-13.3;-10.9;
1.6;-1.14;-13.3;-11;
1.6;-1.18;-13.3;-11;
1.6;-1.21;-13.3;-11;
1.6;-1.25;-13.4;-11.1;
1.6;-1.29;-13.4;-11.1;
1.6;-1.33;-13.4;-11.2;
1.6;-1.37;-13.4;-11.2;
1.59;-1.4;-13.4;-11.2;
1.59;-1.44;-13.4;-11.3;
1.59;-1.48;-13.4;-11.3;
1.59;-1.52;-13.4;-11.4;
1.59;-1.56;-13.4;-11.4;
1.59;-1.6;-13.5;-11.4;
1.59;-1.63;-13.5;-11.5;
1.58;-1.67;-13.5;-11.5;
1.58;-1.71;-13.5;-11.6;
1.58;-1.75;-13.5;-11.6;
1.58;-1.79;-13.5;-11.7;
1.58;-1.82;-13.5;-11.7;
1.58;-1.86;-13.5;-11.7;
1.57;-1.9;-13.5;-11.8;
1.57;-1.94;-13.6;-11.8;
1.57;-1.98;-13.6;-11.9;
1.57;-2.01;-13.6;-11.9;
1.57;-2.05;-13.6;-12;
1.56;-2.09;-13.6;-12;
1.56;-2.13;-13.6;-12;
1.56;-2.16;-13.6;-12.1;
1.56;-2.2;-13.6;-12.1;
1.55;-2.24;-13.7;-12.2;
1.55;-2.28;-13.7;-12.2;
1.55;-2.31;-13.7;-12.3;
1.55;-2.35;-13.7;-12.3;
1.55;-2.38;-13.7;-12.3;
1.54;-2.42;-13.7;-12.4;
1.54;-2.46;-13.7;-12.4;
1.54;-2.49;-13.7;-12.5;
1.54;-2.53;-13.8;-12.5;
1.53;-2.56;-13.8;-12.5;
1.53;-2.6;-13.8;-12.6;
1.53;-2.63;-13.8;-12.6;
1.53;-2.66;-13.8;-12.7;
1.52;-2.7;-13.8;-12.7;
1.52;-2.73;-13.8;-12.7;
1.52;-2.76;-13.8;-12.8;
1.51;-2.8;-13.9;-12.8;
1.51;-2.83;-13.9;-12.8;
1.51;-2.86;-13.9;-12.9;
1.51;-2.89;-13.9;-12.9;
1.5;-2.92;-13.9;-13;
1.5;-2.95;-13.9;-13;
1.5;-2.98;-13.9;-13;
1.49;-3.01;-13.9;-13;
1.49;-3.04;-14;-13.1;
1.49;-3.06;-14;-13.1;
1.48;-3.09;-14;-13.1;
1.48;-3.12;-14;-13.2;
1.48;-3.14;-14;-13.2;
1.48;-3.17;-14;-13.2;
1.47;-3.19;-14;-13.2;
1.47;-3.22;-14;-13.3;
1.47;-3.24;-14.1;-13.3;
1.46;-3.27;-14.1;-13.3;
1.46;-3.29;-14.1;-13.3;
1.46;-3.31;-14.1;-13.3;
1.45;-3.33;-14.1;-13.4;
1.45;-3.35;-14.1;-13.4;
1.45;-3.37;-14.1;-13.4;
1.44;-3.39;-14.2;-13.4;
1.44;-3.4;-14.2;-13.4;
1.44;-3.42;-14.2;-13.4;
1.43;-3.44;-14.2;-13.5;
1.43;-3.45;-14.2;-13.5;
1.43;-3.47;-14.2;-13.5;
1.42;-3.48;-14.2;-13.5;
1.42;-3.49;-14.3;-13.5;
1.42;-3.51;-14.3;-13.5;
1.41;-3.52;-14.3;-13.5;
1.41;-3.53;-14.3;-13.5;
1.4;-3.54;-14.3;-13.5;
1.4;-3.55;-14.3;-13.5;
1.4;-3.56;-14.3;-13.5;
1.39;-3.56;-14.3;-13.5;
1.39;-3.57;-14.4;-13.5;
1.39;-3.58;-14.4;-13.5;
1.38;-3.58;-14.4;-13.5;
1.38;-3.59;-14.4;-13.5;
1.38;-3.59;-14.4;-13.5;
1.37;-3.6;-14.4;-13.4;
1.37;-3.6;-14.4;-13.4;
1.37;-3.6;-14.5;-13.4;
1.36;-3.6;-14.5;-13.4;
1.36;-3.6;-14.5;-13.4;
1.35;-3.6;-14.5;-13.4;
1.35;-3.6;-14.5;-13.4;
1.35;-3.6;-14.5;-13.3;
1.34;-3.6;-14.5;-13.3;
1.34;-3.59;-14.5;-13.3;
1.34;-3.59;-14.6;-13.3;
1.33;-3.59;-14.6;-13.3;
1.33;-3.58;-14.6;-13.2;
1.33;-3.58;-14.6;-13.2;
1.32;-3.57;-14.6;-13.2;
1.32;-3.57;-14.6;-13.2;
1.31;-3.56;-14.6;-13.1;
1.31;-3.55;-14.7;-13.1;
1.31;-3.54;-14.7;-13.1;
1.3;-3.54;-14.7;-13.1;
1.3;-3.53;-14.7;-13;
1.3;-3.52;-14.7;-13;
1.29;-3.51;-14.7;-13;
1.29;-3.5;-14.7;-13;
1.29;-3.49;-14.7;-12.9;
1.28;-3.48;-14.8;-12.9;
1.28;-3.47;-14.8;-12.9;
1.28;-3.45;-14.8;-12.8;
1.27;-3.44;-14.8;-12.8;
1.27;-3.43;-14.8;-12.8;
1.27;-3.42;-14.8;-12.8;
1.26;-3.41;-14.8;-12.7;
1.26;-3.39;-14.8;-12.7;
1.26;-3.38;-14.9;-12.7;
1.25;-3.37;-14.9;-12.6;
1.25;-3.35;-14.9;-12.6;
1.25;-3.34;-14.9;-12.6;
1.24;-3.32;-14.9;-12.5;
1.24;-3.31;-14.9;-12.5;
1.24;-3.29;-14.9;-12.5;
1.23;-3.28;-14.9;-12.5;
1.23;-3.26;-15;-12.4;
1.23;-3.25;-15;-12.4;
1.22;-3.23;-15;-12.4;
1.22;-3.22;-15;-12.3;
1.22;-3.2;-15;-12.3;
1.21;-3.18;-15;-12.3;
1.21;-3.17;-15;-12.2;
1.21;-3.15;-15;-12.2;
1.2;-3.13;-15.1;-12.2;
1.2;-3.12;-15.1;-12.1;
1.2;-3.1;-15.1;-12.1;
1.19;-3.08;-15.1;-12.1;
1.19;-3.07;-15.1;-12.1;
1.19;-3.05;-15.1;-12;
1.19;-3.03;-15.1;-12;
1.18;-3.01;-15.1;-12;
1.18;-3;-15.2;-11.9;
1.18;-2.98;-15.2;-11.9;
1.17;-2.96;-15.2;-11.9;
1.17;-2.94;-15.2;-11.9;
1.17;-2.93;-15.2;-11.8;
1.16;-2.91;-15.2;-11.8;
1.16;-2.89;-15.2;-11.8;
1.16;-2.87;-15.2;-11.8;
1.16;-2.85;-15.2;-11.7;
1.15;-2.84;-15.3;-11.7;
1.15;-2.82;-15.3;-11.7;
1.15;-2.8;-15.3;-11.7;
1.14;-2.78;-15.3;-11.6;
1.14;-2.76;-15.3;-11.6;
1.14;-2.75;-15.3;-11.6;
1.14;-2.73;-15.3;-11.6;
1.13;-2.71;-15.3;-11.5;
1.13;-2.69;-15.4;-11.5;
1.13;-2.67;-15.4;-11.5;
1.13;-2.65;-15.4;-11.5;
1.12;-2.64;-15.4;-11.4;
1.12;-2.62;-15.4;-11.4;
1.12;-2.6;-15.4;-11.4;
1.11;-2.58;-15.4;-11.4;
1.11;-2.56;-15.4;-11.4;
1.11;-2.54;-15.4;-11.3;
1.11;-2.52;-15.5;-11.3;
1.1;-2.51;-15.5;-11.3;
1.1;-2.49;-15.5;-11.3;
1.1;-2.47;-15.5;-11.3;
1.1;-2.45;-15.5;-11.2;
1.09;-2.43;-15.5;-11.2;
1.09;-2.41;-15.5;-11.2;
1.09;-2.39;-15.5;-11.2;
1.09;-2.37;-15.5;-11.2;
1.09;-2.36;-15.6;-11.2;
1.08;-2.34;-15.6;-11.1;
1.08;-2.32;-15.6;-11.1;
1.08;-2.3;-15.6;-11.1;
1.08;-2.28;-15.6;-11.1;
1.07;-2.26;-15.6;-11.1;
1.07;-2.24;-15.6;-11.1;
1.07;-2.22;-15.6;-11;
1.07;-2.21;-15.6;-11;
1.06;-2.19;-15.7;-11;
1.06;-2.17;-15.7;-11;
1.06;-2.15;-15.7;-11;
1.06;-2.13;-15.7;-11;
1.06;-2.11;-15.7;-11;
1.05;-2.09;-15.7;-11;
1.05;-2.07;-15.7;-10.9;
1.05;-2.05;-15.7;-10.9;
1.05;-2.04;-15.7;-10.9;
1.05;-2.02;-15.8;-10.9;
1.04;-2;-15.8;-10.9;
1.04;-1.98;-15.8;-10.9;
1.04;-1.96;-15.8;-10.9;
1.04;-1.94;-15.8;-10.9;
1.04;-1.92;-15.8;-10.9;
1.03;-1.9;-15.8;-10.9;
1.03;-1.88;-15.8;-10.9;
1.03;-1.86;-15.8;-10.9;
1.03;-1.84;-15.9;-10.9;
1.03;-1.82;-15.9;-10.8;
1.02;-1.81;-15.9;-10.8;
1.02;-1.79;-15.9;-10.8;
1.02;-1.77;-15.9;-10.8;
1.02;-1.75;-15.9;-10.8;
1.02;-1.73;-15.9;-10.8;
1.02;-1.71;-15.9;-10.8;
1.01;-1.69;-15.9;-10.8;
1.01;-1.67;-15.9;-10.8;
1.01;-1.65;-16;-10.8;
1.01;-1.63;-16;-10.8;
1.01;-1.61;-16;-10.8;
1.01;-1.59;-16;-10.8;
1;-1.57;-16;-10.8;
1;-1.55;-16;-10.8;
1;-1.53;-16;-10.8;
1;-1.51;-16;-10.8;
0.998;-1.49;-16;-10.8;
0.997;-1.47;-16.1;-10.8;
0.996;-1.45;-16.1;-10.8;
0.994;-1.43;-16.1;-10.8;
0.993;-1.41;-16.1;-10.8;
0.991;-1.39;-16.1;-10.8;
0.99;-1.37;-16.1;-10.8;
0.989;-1.35;-16.1;-10.8;
0.987;-1.33;-16.1;-10.8;
0.986;-1.31;-16.1;-10.8;
0.985;-1.29;-16.2;-10.8;
0.983;-1.27;-16.2;-10.9;
0.982;-1.24;-16.2;-10.9;
0.981;-1.22;-16.2;-10.9;
0.98;-1.2;-16.2;-10.9;
0.978;-1.18;-16.2;-10.9;
0.977;-1.16;-16.2;-10.9;
0.976;-1.14;-16.2;-10.9;
0.975;-1.12;-16.2;-10.9;
0.974;-1.1;-16.3;-10.9;
0.973;-1.07;-16.3;-10.9;
0.972;-1.05;-16.3;-10.9;
0.971;-1.03;-16.3;-11;
0.97;-1.01;-16.3;-11;
0.969;-0.987;-16.3;-11;
0.968;-0.965;-16.3;-11;
0.967;-0.942;-16.3;-11;
0.966;-0.92;-16.3;-11;
0.965;-0.898;-16.4;-11;
0.964;-0.875;-16.4;-11.1;
0.963;-0.852;-16.4;-11.1;
0.962;-0.83;-16.4;-11.1;
0.961;-0.807;-16.4;-11.1;
0.961;-0.783;-16.4;-11.1;
0.96;-0.76;-16.4;-11.1;
0.959;-0.737;-16.4;-11.2;
0.958;-0.713;-16.4;-11.2;
0.958;-0.69;-16.5;-11.2;
0.957;-0.666;-16.5;-11.2;
0.956;-0.642;-16.5;-11.2;
0.956;-0.618;-16.5;-11.3;
0.955;-0.594;-16.5;-11.3;
0.955;-0.569;-16.5;-11.3;
0.954;-0.545;-16.5;-11.3;
0.953;-0.52;-16.5;-11.4;
0.953;-0.495;-16.5;-11.4;
0.953;-0.47;-16.6;-11.4;
0.952;-0.445;-16.6;-11.4;
0.952;-0.419;-16.6;-11.5;
0.951;-0.394;-16.6;-11.5;
0.951;-0.368;-16.6;-11.5;
0.95;-0.342;-16.6;-11.5;
0.95;-0.315;-16.6;-11.6;
0.95;-0.289;-16.6;-11.6;
0.95;-0.262;-16.6;-11.6;
0.949;-0.235;-16.7;-11.7;
0.949;-0.208;-16.7;-11.7;
0.949;-0.181;-16.7;-11.7;
0.949;-0.154;-16.7;-11.8;
0.949;-0.126;-16.7;-11.8;
0.948;-0.0978;-16.7;-11.9;
0.948;-0.0695;-16.7;-11.9;
0.948;-0.041;-16.7;-11.9;
0.948;-0.0123;-16.8;-12;
0.948;0.0167;-16.8;-12;
0.948;0.046;-16.8;-12.1;
0.948;0.0755;-16.8;-12.1;
0.949;0.105;-16.8;-12.1;
0.949;0.135;-16.8;-12.2;
0.949;0.166;-16.8;-12.2;
0.949;0.196;-16.8;-12.3;
0.949;0.227;-16.8;-12.3;
0.949;0.258;-16.9;-12.4;
0.95;0.29;-16.9;-12.4;
0.95;0.322;-16.9;-12.5;
0.95;0.354;-16.9;-12.5;
0.951;0.386;-16.9;-12.6;
0.951;0.419;-16.9;-12.6;
0.952;0.452;-16.9;-12.7;
0.952;0.485;-16.9;-12.8;
0.953;0.519;-17;-12.8;
0.953;0.553;-17;-12.9;
0.954;0.587;-17;-12.9;
0.954;0.622;-17;-13;
0.955;0.657;-17;-13.1;
0.956;0.692;-17;-13.1;
0.956;0.728;-17;-13.2;
0.957;0.764;-17.1;-13.3;
0.958;0.8;-17.1;-13.3;
0.959;0.836;-17.1;-13.4;
0.959;0.873;-17.1;-13.5;
0.96;0.91;-17.1;-13.5;
0.961;0.948;-17.1;-13.6;
0.962;0.986;-17.1;-13.7;
0.963;1.02;-17.1;-13.8;
0.964;1.06;-17.2;-13.8;
0.965;1.1;-17.2;-13.9;
0.966;1.14;-17.2;-14;
